epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,epoch_time
114,0.47943,0.86550,0.96562,0.60054,0.83260,0.96140,5.0000000000000016e-05,176.90274
115,0.47829,0.86553,0.96582,0.60117,0.83040,0.96080,5.0000000000000016e-05,176.86589
116,0.47894,0.86520,0.96516,0.59927,0.83120,0.96040,5.0000000000000016e-05,176.82555
117,0.48137,0.86475,0.96426,0.60162,0.83040,0.96140,5.0000000000000016e-05,176.86115
118,0.47525,0.86600,0.96621,0.59810,0.83220,0.96140,5.0000000000000016e-05,176.89785
119,0.47160,0.86755,0.96643,0.60448,0.83200,0.96160,5.0000000000000016e-05,176.93015
120,0.47733,0.86575,0.96532,0.60220,0.83260,0.96120,5.000000000000002e-06,176.89494
121,0.47112,0.86711,0.96638,0.60195,0.83240,0.96100,5.000000000000002e-06,176.91536
122,0.47352,0.86715,0.96624,0.60279,0.83140,0.96140,5.000000000000002e-06,176.75217
123,0.47515,0.86639,0.96561,0.60287,0.83240,0.96040,5.000000000000002e-06,176.82027
124,0.47066,0.86807,0.96609,0.60166,0.83280,0.96140,5.000000000000002e-06,176.90763
125,0.47418,0.86678,0.96588,0.60075,0.83360,0.96160,5.000000000000002e-06,176.79320
126,0.47276,0.86800,0.96635,0.59961,0.83240,0.96120,5.000000000000002e-06,176.87634
127,0.46908,0.86811,0.96718,0.60022,0.83360,0.96040,5.000000000000002e-06,176.80821
128,0.47032,0.86773,0.96658,0.59906,0.83180,0.96140,5.000000000000002e-06,177.01456
129,0.46967,0.86838,0.96673,0.60048,0.83340,0.96180,5.000000000000002e-06,177.00122
130,0.47185,0.86805,0.96635,0.59976,0.83200,0.96080,5.000000000000002e-06,176.96638
131,0.46631,0.86934,0.96695,0.60266,0.83100,0.96140,5.000000000000002e-06,176.93434
132,0.47151,0.86731,0.96631,0.60068,0.83300,0.96160,5.000000000000002e-06,176.99074
133,0.47310,0.86752,0.96584,0.60190,0.83280,0.96100,5.000000000000002e-06,177.03323
134,0.47358,0.86775,0.96595,0.60030,0.83280,0.96160,5.000000000000002e-06,176.88472
135,0.46990,0.86804,0.96645,0.60116,0.83240,0.96060,5.000000000000002e-06,176.86818
136,0.47302,0.86862,0.96565,0.60155,0.83240,0.96060,5.000000000000002e-06,176.77844
137,0.46575,0.86916,0.96698,0.60095,0.83200,0.96120,5.000000000000002e-06,176.80373
138,0.46927,0.86877,0.96625,0.59977,0.83380,0.96140,5.000000000000002e-06,176.89592
139,0.47166,0.86828,0.96581,0.60153,0.83320,0.96100,5.000000000000002e-06,176.76428
140,0.46885,0.86868,0.96703,0.59929,0.83340,0.96140,5.000000000000002e-06,176.92828
141,0.47049,0.86818,0.96612,0.60179,0.83360,0.96240,5.000000000000002e-06,176.91374
142,0.47021,0.86848,0.96667,0.60160,0.83260,0.96080,5.000000000000002e-06,176.81348
143,0.46752,0.86852,0.96640,0.59915,0.83200,0.96140,5.000000000000002e-06,176.84389
